French,English
partie,part
histoire,history
pensais,thought
demande,request
genre,kind
frère,brother
car,because
aucun,no
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
voici,here is
pourrais,could
donner,give
type,type
donné,given
train,train
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
vieux,old
sois,be
tiens,here
matin,morning
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
eau,water
nouvelle,new
boulot,job
dirait,would say
terre,Earth
donne,given
loin,far
croire,believe
gros,large
aura,will have
jouer,to play
